Neighborhood;BldClassif;YearBuilt;GrossSqFt;GrossIncomeSqFt;MarketValueperSqFt
17;2;1925;12985;15.35;32.6
1;1;1965;175671;32;149
11;1;1900;31500;23.85;99
27;1;1964;194800;21;44.5
20;1;1925;30240;35;163
26;2;1920;19405;19.75;41.9
4;1;1960;416668;31;144
1;1;1929;106001;34;158
7;1;1928;99494;25;104
27;2;1900;11046;36.1;168
9;1;1900;28300;29;135
4;1;1963;293303;29.3;136
26;1;1962;251500;23.7;50
4;2;1930;10090;41;201
7;1;1968;493395;25.4;54
4;1;1922;142368;35.5;166
4;1;1923;64957;33;154
3;1;1915;31850;26;108
4;1;1923;49555;35;163
1;1;1931;187270;35;163
26;2;1920;14701;24.1;51
17;1;1900;59464;11.14;23.54
26;2;1900;10610;32.8;153
4;2;1920;10480;40;197
7;2;1920;9375;38;81
31;1;1920;37400;26.5;110
28;1;1900;18114;26;55
25;1;1960;58000;35;163
7;1;1900;12641;31;145
3;1;1925;55665;18.5;69
17;2;1900;18000;17.54;37.2
1;1;1910;57847;30;140
3;2;1925;21370;19;71
7;1;1900;47487;25;104
19;1;1932;62287;31;144
15;1;1920;18700;28.3;132
23;1;1979;62947;38.5;180
9;1;1910;58266;35;163
12;1;1908;29520;13;27.6
17;1;1920;43178;16.73;63
17;1;1950;69331;11.35;29.4
9;1;1938;38563;39;191
7;1;1909;124208;25;104
5;1;1930;29624;33.4;156
7;1;1910;18840;26;108
3;1;1920;61400;16;54
8;1;1930;141058;24.7;102
15;2;1900;7700;37.7;175
7;2;1910;77620;30;139
26;2;1920;7300;28.3;60
4;1;1930;106905;30.4;141
7;1;1914;61800;20;75
6;2;1910;9925;31;144
17;1;1925;61710;11.34;23.98
4;1;1958;182000;30;140
31;1;1931;55800;33.7;157
4;1;1930;119765;33;154
32;1;1910;13375;35;163
7;1;1930;127289;20;82
30;2;1920;9020;33;70
4;1;1929;115835;30;140
4;1;1926;75798;36;168
2;1;1900;22390;46.4;228
3;1;1925;45340;19;71
7;2;1900;7224;34;158
7;1;1949;51450;23;95
4;1;1960;22600;37;173
9;1;1924;51428;34;158
19;1;1932;75512;31;144
4;2;1900;24864;35;163
7;1;1912;57516;22;91
23;1;1964;133749;33.6;157
1;1;1929;107231;30;140
30;1;1925;65750;30;140
1;1;1963;107780;31;145
7;1;1926;120112;27;112
4;1;1978;20250;34;159
8;1;1924;163969;29;135
4;1;1925;237164;31.4;146
4;1;1967;111231;30.4;142
4;1;1925;176799;31.5;146
31;1;1915;78306;32.7;152
3;1;1920;47851;16;54
1;1;1930;25698;35;163
1;1;1983;254000;43.8;215
1;1;1964;181246;29.8;139
29;1;1900;48552;28;130
9;1;1912;125284;32;149
1;1;1927;130923;42.2;207
1;1;1917;88530;41.7;204
6;2;1901;9525;31;145
7;2;1920;11550;32;149
34;1;1972;36000;16.29;55
34;2;1900;12876;18.05;67
1;1;1931;324854;33;154
8;1;1927;157824;29;135
35;1;1910;25244;30;140
1;1;1959;80080;32;149
11;1;1904;35568;22.33;92
4;1;1929;112083;31;145
4;1;1978;109076;34;159
7;1;1908;46086;30;140
4;1;1926;184263;29;135
4;1;1910;29148;33;154
11;2;1920;8800;16.28;34.5
3;1;1951;75600;17;64
16;1;1926;50066;15;51
7;1;1914;59175;22;91
9;1;1962;367600;32;149
5;1;1940;24192;32;149
20;0;1910;106841;28;116
9;1;1925;104238;32;149
17;2;1926;12787;16.01;33.9
10;2;1910;17216;13;27.6
5;2;1915;7650;37.3;174
30;1;1957;588527;30;140
14;1;1900;31365;34;158
5;1;1940;15084;35.8;167
22;1;1928;43368;9;19.09
27;2;1929;8370;37.5;174
26;2;1920;9519;28.4;118
28;2;1900;10674;33.4;156
5;1;1926;13664;32.2;150
12;1;1920;33451;12;25.4
10;2;1910;17585;13;27.6
4;1;1950;47680;32;149
15;2;1900;8525;37;172
3;1;1916;106704;17.5;65
9;2;1920;14015;33;153
28;1;1920;20460;26;55
3;1;1916;97857;18;67
15;1;1960;1467268;25.9;107
17;1;1970;370814;14.31;30.2
15;2;1920;11680;37.5;175
18;1;1924;45222;15;51
1;1;1920;64853;34;159
15;1;1920;27755;27.4;128
1;1;1959;914921;29.8;139
28;2;1920;17990;28.6;61
7;1;1967;196650;23;48.8
13;2;1926;20988;19.12;71
4;1;1925;54696;27.8;115
6;2;1901;10200;31;144
17;1;1904;51456;10.86;22.93
4;2;1910;36160;35;163
5;2;1973;37620;39.9;85
5;2;1900;6450;38.8;191
1;1;1928;314509;50;250
26;1;1972;198260;29.2;62
18;1;1959;223200;13;27.6
1;1;1961;132724;31.9;148
20;0;1900;36400;33;154
23;1;1935;24090;35;163
15;1;1920;24378;33.6;157
1;1;1948;80860;31;145
4;1;1920;45634;31;144
18;1;1959;133920;15;51
13;1;1926;69840;17.55;66
1;1;1917;103835;33;154
20;0;1910;49520;32;149
15;2;1915;15203;36.8;172
4;2;1910;10035;41;201
16;1;1946;77967;15.31;52
29;2;1901;9575;33.4;71
25;1;1905;15800;36.4;170
4;1;1975;693459;36.5;77
7;1;1928;162075;23;95
25;1;1965;233320;33;154
2;1;1955;392071;39.8;195
25;1;1930;21339;35.6;166
18;2;1907;13035;14;29.7
7;1;1967;323484;22;46.7
17;2;1900;11630;12.82;27.2
25;1;1928;184961;34.1;158
1;1;1924;68693;34;159
4;1;1926;263334;28;116
30;1;1935;70507;26.5;110
18;1;1939;66990;15;51
15;2;1900;7500;33.3;155
6;2;1910;10100;32;68
9;1;1926;74654;32;149
7;1;1970;221587;23;48.7
4;1;1901;37240;35;163
1;1;1963;163496;33.5;156
22;2;1915;15200;15;31.8
30;1;1939;72845;32;150
1;1;1925;77792;40.7;199
22;1;1925;61356;12;33.7
3;1;1920;138633;19;71
7;1;1951;92976;23;95
19;1;1928;63000;32;149
1;1;1913;67600;38;178
3;1;1910;26997;26;108
7;1;1900;20350;32;149
20;0;1909;65150;30;140
27;1;1928;56845;37.2;173
22;1;1910;52542;13;40.5
9;1;1925;27308;38;177
27;2;1910;10083;28.9;120
17;2;1910;35080;16.31;34.5
5;1;1954;24635;34.1;159
3;1;1920;76500;26;108
3;1;1920;112541;18;67
7;1;1915;69094;26;108
7;1;1936;147289;23;95
1;1;1962;103004;33;153
1;1;1925;78000;33;154
19;1;1956;430000;30.4;142
27;1;1964;147730;18.75;39.7
7;1;1923;48184;21;87
6;2;1920;8450;31;144
4;2;1930;10380;34;158
26;2;1910;7200;32.3;150
4;1;1925;60947;32;149
4;1;1959;82430;32;149
4;1;1928;33911;33;154
3;2;1915;9640;20.93;87
5;2;1910;12363;42.1;206
17;2;1920;17100;16.01;33.9
15;1;1900;13550;35.1;163
19;1;1953;155938;29;135
4;2;1920;25264;35.5;165
1;1;1958;163787;32.4;151
17;2;1910;9395;20.85;44.2
7;1;1900;25090;0;137
4;1;1947;94418;32;149
14;1;1930;33204;34;158
1;1;1923;56500;34;158
18;1;1920;81909;14.83;50
4;2;1920;9250;37;172
28;2;1902;17556;28.6;118
15;2;1900;5500;38.2;187
29;0;1926;74368;34.8;163
17;2;1900;25893;13.36;28.3
17;2;1910;13830;18.77;39.8
1;1;1957;195441;32.4;151
25;1;1930;9400;33.5;156
28;2;1925;10405;33.4;156
9;1;1971;421205;40;196
14;0;1910;54600;40;196
4;1;1959;113000;31.5;147
1;1;1926;59279;32;149
4;1;1930;59488;34;158
4;1;1942;89400;29;135
7;1;1939;372186;25;103
4;2;1930;10090;40;196
1;1;1926;62935;42.2;207
7;1;1920;313563;23;95
1;2;1910;7585;44;216
14;0;1900;27500;35;163
19;1;1927;53694;36;168
4;2;1910;9225;34.5;160
4;2;1910;10340;40;196
26;1;1964;126150;17.75;37.7
4;2;1920;10715;41;202
4;1;1957;281825;32;149
3;1;1923;190890;20.5;76
4;1;1925;104000;29.4;137
9;1;1920;46621;30;140
34;1;1974;2046455;15.62;33.1
23;1;1900;14990;35;163
9;1;1930;209780;33;153
3;1;1925;18576;27;112
9;1;1920;57086;34;158
18;1;1937;17436;15;51
2;2;1900;11343;39;191
25;1;1964;190000;38;177
4;1;1915;112078;34.5;161
7;1;1926;380920;25;103
23;1;1912;111227;32;149
23;1;1910;45920;36;168
12;1;1915;59196;14.4;30.6
9;1;1924;54976;35;163
3;1;1925;36045;25;103
19;1;1938;206411;31;144
4;2;1920;9375;37;173
30;1;1938;82835;31;145
18;1;1940;21456;15;51
17;2;1926;12230;19.76;41.9
14;2;1925;7283;36;168
34;2;1910;6032;17.97;38.1
1;1;1917;90881;33;154
15;0;1920;32322;30.6;143
32;1;1970;927591;31;66
30;2;1920;19465;32;68
25;1;1945;21000;35;163
12;2;1920;17895;12;25.4
20;0;1903;27075;33;154
4;1;1967;130500;29;61
4;1;1920;52900;32;149
22;1;1921;26400;18;38.3
4;1;1983;25406;35.5;166
14;1;1909;35735;34;158
3;1;1900;18960;27;63
1;1;1966;159929;33;154
4;1;1928;60192;36;168
4;2;1910;8745;33;153
9;1;1928;162676;38;177
5;2;1900;7000;34;159
1;1;1920;21920;44;216
9;1;1927;92239;27;112
7;1;1906;98373;26;108
15;0;1940;49880;32.5;151
31;0;1920;89724;30.6;143
6;2;1920;13574;32;68
4;2;1905;9895;32;149
4;1;1925;86666;32;149
7;1;1910;100977;25;104
19;1;1924;51576;37;172
5;1;1922;31750;33.4;156
4;1;1974;340068;33;154
4;1;1973;114000;38;177
1;1;1963;150740;29;135
4;1;1951;195000;32;149
17;1;1910;38255;18;38.2
11;1;1930;201723;19.68;73
16;1;1925;47477;15;51
1;1;1928;55883;34;158
17;1;1920;18530;11.74;24.88
1;2;1910;14280;37;172
30;2;1930;10600;32;149
9;1;1917;66917;33;154
33;1;1901;79422;28.5;118
7;1;1926;203217;31;144
4;2;1915;9185;34;158
4;1;1970;10000;34;158
23;1;1942;45300;35;163
19;1;1929;261401;36;168
19;1;1967;443522;30.4;142
4;2;1920;8590;34.5;161
9;1;1910;132291;35;163
5;2;1911;23398;35.9;167
9;1;1969;400000;32;149
1;1;1960;104000;40.1;197
22;2;1911;24625;16.5;35
5;0;1900;18969;35.3;164
9;1;1902;18940;41;201
28;1;1950;553660;18.5;39.2
19;1;1960;20400;33;154
7;1;1927;100137;25;104
23;1;1965;15360;35.2;164
9;1;1910;119866;34;159
15;2;1910;10800;37;79
23;1;1960;82826;34;158
14;1;1920;42240;36.8;171
19;1;1931;93153;38;177
14;0;1910;37050;34;158
27;1;1920;25818;34.6;162
19;1;1955;90000;30;140
23;1;1929;57834;34;158
1;1;1928;203490;32.4;151
1;1;1928;138990;32;149
20;0;1908;49520;31;144
10;1;1926;50388;12.33;34.7
4;1;1963;116824;34;158
3;1;1916;119228;18;67
7;1;1914;53370;21;87
9;1;1926;28971;33;154
9;1;1918;80463;29;135
19;2;1930;12235;41;201
5;1;1929;93291;33.8;158
4;1;1924;78613;34;159
23;1;1940;75273;36.3;169
27;2;1900;10794;35.2;164
4;1;1962;148031;36;168
2;0;1905;59248;32.1;149
4;1;1957;230473;35;163
10;2;1905;19390;18.51;39.2
1;1;1931;29000;38;177
9;1;1975;22626;40;196
22;1;1915;61902;12;33.8
1;1;1963;136820;29.3;137
28;2;1915;13524;28;59
30;1;1920;48810;30;140
8;1;1904;46014;31;144
19;1;1959;537750;33;154
6;1;1957;40512;27;112
7;1;1920;47349;22;91
22;2;1911;18005;14;29.7
11;2;1920;8800;16.28;34.5
34;2;1910;4578;17.97;38
12;2;1920;13195;16;54
1;1;1964;100600;33.5;156
4;1;1923;166158;28.9;135
28;2;1940;22117;28.7;119
15;2;1900;6135;31;144
7;1;1940;22150;21;87
4;1;1962;207546;32.5;151
1;2;1920;17736;34;158
12;1;1964;400800;11.05;23.43
1;1;1916;76745;34;159
34;2;1910;24365;15.46;32.8
5;2;1908;23039;42.5;209
18;1;1925;58904;15;51
18;1;1909;56814;15;51
31;2;1915;22363;31.8;148
5;2;1910;5984;36.8;170
23;1;1957;74798;34.8;162
4;1;1925;39222;34;158
5;2;1900;16026;36.2;168
21;1;1929;375239;33;154
14;1;1920;40180;34;158
15;1;1920;19470;46.2;227
18;1;1939;55776;15;51
1;1;1957;122346;30;140
1;1;1917;67685;39.1;192
4;1;1922;57726;27.8;115
9;1;1925;105996;33;154
4;1;1929;112332;30;140
23;1;1955;118467;34;159
17;1;1910;79932;8.02;17.01
14;0;1903;86018;36;167
30;2;1920;9975;37;78
7;1;1929;156360;30;139
14;2;1900;13758;35;163
15;1;1939;62586;33.9;158
1;1;1917;48338;34;158
28;2;1929;6870;38.3;188
12;2;1900;16476;12;25.4
1;1;1964;151009;33;154
22;1;1910;42000;16;37.4
4;1;1910;29910;33;154
22;1;1941;318505;15;51
13;1;1926;41214;25.2;104
4;1;1913;32762;33;154
5;2;1910;11592;37.1;173
9;1;1910;18569;35;163
19;1;1926;231680;30;140
4;1;1973;345242;32;149
4;1;1920;54684;31;144
1;1;1929;108817;41.2;202
14;1;1920;22104;40;196
19;2;1900;6040;32;149
12;1;1920;32022;12;25.5
31;0;1910;30000;33.5;156
30;1;1900;167076;36;168
31;1;1915;23700;32.8;153
9;1;1900;10174;50;246
9;1;1915;26911;38;177
5;1;1930;69755;35.8;166
10;2;1905;19270;18.51;39.2
30;2;1920;10735;32;68
30;1;1963;564196;35;163
4;2;1910;8320;34;159
9;1;1917;125030;35;163
4;2;1910;8465;35;163
30;1;1916;38928;33;154
25;1;1963;112641;33;154
26;1;1920;20680;30.3;64
18;1;1939;102150;15;51
1;2;1910;13500;36;167
4;1;1920;20615;36;168
19;1;1975;1142297;31.4;146
1;1;1931;200244;32.4;151
7;1;1910;32067;22;91
4;1;1920;7625;36.5;170
1;1;1959;92744;33;154
4;2;1925;9185;34;158
25;1;1973;250220;33;154
4;1;1963;184745;32;149
19;1;1956;217285;30;140
9;1;1930;490265;31;144
5;1;1925;22530;33.3;155
1;1;1947;143437;32.4;151
11;1;1920;19066;18.84;40
5;1;1920;44385;35.3;164
1;1;1938;62100;42;206
1;1;1929;21162;44;216
3;1;1910;47020;24;99
7;1;1927;67953;25;104
1;1;1917;104092;43.8;215
15;1;1930;37782;27.8;115
22;2;1911;23442;16.5;35
4;2;1910;9860;45;221
7;1;1922;223179;25;104
1;1;1963;147000;30.9;144
4;1;1930;58110;29;135
15;1;1940;159090;35.1;163
4;1;1928;77426;34;159
17;1;1920;16695;11.74;24.92
13;2;1920;17034;33.9;72
19;1;1960;105749;33;154
4;2;1920;17510;39;191
27;2;1900;7980;33.7;157
19;1;1930;47242;31;144
4;1;1928;81180;29;134
4;2;1920;10465;40;196
4;1;1966;169507;34.5;160
27;2;1910;16916;36;168
11;1;1900;21168;19.1;40.5
6;1;1957;104966;26;108
19;1;1959;93000;32;149
12;1;1920;20970;14;29.7
2;1;1929;65926;36;168
14;2;1900;25159;27.4;114
1;1;1963;183013;33.5;156
15;2;1920;9700;37.1;173
2;0;1940;52000;40;196
4;1;1926;181136;25.8;107
7;2;1910;14100;32;149
12;2;1910;17500;12;25.4
15;2;1850;13200;34.1;159
17;1;1921;33873;11.42;24.21
23;1;1890;24898;35.1;164
4;1;1925;165357;25.7;106
